J0014.0-5025 3.5150 -50.4285 0.0532 0.0451 -38.040 5.650 2914.03 2.9271E-14 2.4452E-10 2.7998E-12 1.45 1.9239 2.806083E-09 6.793875E-13 1.142 4.207974E-10 2.915174E-13 1.526 2.374320E-10 5.748522E-13 4.296 5.374419E-11 3.723255E-13 3.294 2.044316E-11 3.754285E-13 3.707 4.637743E+01 bll
J0014.3-0455 3.5858 -4.9196 0.0784 0.0667 -59.020 6.325 964.45 7.2532E-13 4.4020E-10 6.5146E-12 1.06 2.5041 1.049286E-08 2.401427E-12 1.860 2.651157E-09 1.717430E-12 4.650 2.507688E-10 5.739168E-13 3.096 8.078142E-11 5.233054E-13 3.564 1.257423E-11 1.850430E-13 1.911 5.438249E+01 NULL
J0014.6+6119 3.6592 61.3182 0.0401 0.0351 20.220 7.394 5188.00 2.7050E-14 6.7028E-10 7.8135E-12 2.43 1.8875 1.054479E-11 2.562250E-15 0.000 4.606018E-10 3.204743E-13 0.579 3.889237E-10 9.450356E-13 2.557 2.199451E-10 1.530318E-12 5.383 8.166934E-11 1.522672E-12 5.666 5.078542E+01 bcu
J0014.7+5802 3.6827 58.0424 0.0358 0.0321 -71.550 5.546 5677.10 1.2383E-14 3.7023E-10 4.2605E-12 0.67 1.9128 1.182385E-12 2.865840E-16 0.000 2.988763E-11 2.073254E-14 0.000 3.215753E-10 7.794271E-13 2.647 9.637214E-11 6.685173E-13 3.578 2.885146E-11 5.322778E-13 3.464 3.951007E+01 bll
J0015.7+5552 3.9408 55.8747 0.0275 0.0260 -79.010 6.390 3003.00 4.8758E-14 4.4492E-10 4.9642E-12 1.04 2.1145 7.427610E-09 1.764860E-12 2.424 1.787555E-09 1.210866E-12 3.061 3.045566E-10 7.236510E-13 2.736 8.015106E-11 5.429323E-13 2.728 2.077307E-11 3.531321E-13 3.266 3.767234E+01 bcu
J0016.3-0013 4.0779 -0.2296 0.0680 0.0640 41.540 13.631 449.44 8.4173E-12 6.4111E-10 1.1002E-11 3.41 2.6179 1.911256E-08 4.327734E-12 6.633 4.530125E-09 2.897769E-12 9.853 5.171149E-10 1.170924E-12 6.748 2.471507E-11 1.580940E-13 1.227 1.174174E-11 1.663366E-13 2.000 1.530784E+02 fsrq
J0016.5+1713 4.1354 17.2210 0.1335 0.1095 79.860 4.088 890.57 4.6120E-13 2.4152E-10 3.3175E-12 2.26 2.4381 4.153380E-09 9.565112E-13 1.371 1.154011E-09 7.531379E-13 2.739 2.458566E-10 5.662006E-13 3.446 1.096385E-11 7.155295E-14 0.883 5.413278E-12 8.151098E-14 0.755 5.288372E+01 NULL
J0017.1+1445 4.2937 14.7612 0.0522 0.0495 88.150 4.795 3583.98 1.9915E-14 2.4527E-10 2.8662E-12 1.18 1.8830 1.367830E-13 3.325126E-17 0.000 5.409498E-10 3.765776E-13 1.445 2.232462E-10 5.427001E-13 3.138 2.838228E-11 1.975808E-13 1.688 3.101620E-11 5.793538E-13 4.214 3.614344E+01 NULL
J0017.2-0643 4.3049 -6.7237 0.0776 0.0636 67.670 6.223 1905.97 1.1123E-13 3.8799E-10 4.3303E-12 0.95 2.1162 5.846599E-10 1.388972E-13 0.051 6.231603E-10 4.220380E-13 1.513 4.443031E-10 1.055527E-12 5.933 8.108467E-11 5.491494E-13 4.142 1.046466E-11 1.777770E-13 1.096 3.738957E+01 bcu
J0017.6-0512 4.4045 -5.2050 0.0440 0.0405 7.730 11.998 861.19 1.7430E-12 7.9522E-10 1.1800E-11 1.85 2.5063 2.004336E-08 4.586215E-12 3.223 4.224205E-09 2.735772E-12 7.432 6.989336E-10 1.599262E-12 8.385 7.207169E-11 4.667665E-13 3.568 2.399968E-11 3.529098E-13 3.675 2.300858E+02 FSRQ
